@CDE,LABEL,DESCRIPTION,SYNONYMS,UNIT,CATEGORY,SOURCE_FILE,FILE_DESCRIPTION,DSSAT_VERSION,SO,NAME,ALIAS
ADAP,Anthesis day,Anthesis day (dap),.,dap,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
ADAT,Anthesis date,Anthesis date (YrDoy),Z60D ANTH FL1D ADAY ADOY,YrDoy,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
AMDY,Anth to matur,Anthesis to maturity (days),.,days,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B1DAP,Branch 1 dap,Days after planting to the first branch,B1DAP,,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B2DAP,Branch 2 dap,Days after planting to the second branch,B2DAP,,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B3DAP,Branch 3 dap,Days after planting to the third branch,B3DAP,,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B4DAP,Branch 4 dap,Days after planting to the fourth branch,B4DAP,,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B5DAP,Branch 5 dap,Days after planting to the fifth branch,B5DAP,,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B1DAT,Branch 1 date,Date of first branching (YrDoy),B1DAT,YrDoy,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B2DAT,Branch 2 date,Date of second branching  (YrDoy),B2DAT,YrDoy,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B3DAT,Branch 3 date,Date of third branching (YrDoy),B3DAT,YrDoy,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B4DAT,Branch 4 date,Date of fourth branching (YrDoy),B4DAT,YrDoy,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
B5DAT,Branch 5 date,Date of fifth branching (YrDoy),B5DAT,YrDoy,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
BADMF,Biomass@forcing,"Above-ground biomass at forcing (pineapple, t/ha)",.,"pineapple, t/ha",*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
BADMH,Aerial t[dm]/ha,"Aerial biomass (green+dead), dm at harvest (t/ha)",.,green+dead,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
BWAH,Byproduct kg/ha,By-product removed during harvest (kg [dm]/ha),.,kg [dm]/ha,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
BWAM,Byproduct kg/ha,By-product produced (stalk) at maturity (kg[dm]/ha),.,stalk,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CFAH,F cane yl t/ha,Fresh cane yield (t/ha),.,t/ha,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CHTA,Canopy height m,Canopy height (m),.,m,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CNAA,"Tops N,anthesis",Tops N at anthesis (kg/ha),.,kg/ha,*SUMMARY,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
